order_id,customer_id,order_date,order_status,product_ordered,quantity_ordered,product_cost,order_total,shipping_address
ORD1,CUST36,12/8/2023,Shipped,GlowGlow Hydrating Face Mask,9,8,93.6,Cleveland
ORD2,CUST3,2/5/2024,Shipped,EcoBloom Sustainable Plant Stand,22,92,2631.2,Long Beach
ORD3,CUST86,15-09-2022,Delivered,GlowGoddess Highlighter Palette,9,77,900.9,Detroit
ORD4,CUST56,8/11/2023,Delivered,UrbanVibe Industrial Floor Lamp,18,52,1216.8,Boynton Beach
ORD5,CUST7,1/7/2024,Shipped,GlowGlow Exfoliating Body Scrub,22,86,2459.6,Apache Junction
ORD6,CUST28,15-07-2024,Pending,TechTrend Smart Watch,5,86,559,Raleigh
ORD7,CUST55,6/8/2021,Pending,TrendTide Graphic Tee,11,113,1615.9,Dallas
ORD8,CUST9,15-09-2021,Shipped,GlowGuru Facial Cleansing Brush,22,100,2860,Rochester
ORD9,CUST61,25-11-2020,Shipped,PowerPulse Wireless Charging Pad,8,26,270.4,Lexington
ORD10,CUST98,2/4/2020,Delivered,SmartSync Smart Home Hub,10,83,1079,London
ORD11,CUST69,24-05-2023,Cancelled,PowerPulse Fitness Tracker,6,102,795.6,Garden Grove
ORD12,CUST31,22-09-2020,Shipped,ChicCharm Midi Skirt,16,62,1289.6,Tampa
ORD13,CUST94,28-03-2021,Delivered,CozyCurl Knit Throw Pillow,25,52,1690,Saint Louis
ORD14,CUST15,3/5/2022,Delivered,GlowGlow Nourishing Hair Mask,7,73,664.3,New Hyde Park
ORD15,CUST79,27-12-2021,Delivered,EcoElegance Bamboo Cutting Board,3,33,128.7,Kansas City
ORD16,CUST18,14-06-2021,Delivered,SportPro Agility Ladder,18,112,2620.8,Washington
ORD17,CUST77,19-11-2024,Pending,PowerPulse Portable Power Bank,23,111,3318.9,Corpus Christi
ORD18,CUST64,25-10-2021,Cancelled,ModernMingle Abstract Canvas Art,1,76,98.8,Salt Lake City
ORD19,CUST96,26-11-2021,Shipped,GlowGlow Illuminating Body Oil,18,117,2737.8,Tacoma
ORD20,CUST44,2/10/2023,Pending,ElectroGlow Tech Headphones,16,25,520,Baltimore
ORD21,CUST75,5/3/2021,Pending,ModernMingle Geometric Throw Pillow,21,55,1501.5,Sacramento
ORD22,CUST59,30-11-2020,Shipped,SportSprint Speed Jump Rope,12,90,1404,San Francisco
ORD23,CUST63,23-07-2020,Delivered,TechTrend Bluetooth Speaker,8,8,83.2,Charlotte
ORD24,CUST42,12/3/2024,Delivered,SmartSync Smart Thermostat,3,46,179.4,Sacramento
ORD25,CUST62,21-09-2020,Delivered,TechTrend Wireless Earbuds,10,42,546,Wilkes Barre
ORD26,CUST70,23-09-2023,Delivered,RusticCharm Wooden Wall Art,2,71,184.6,Nashville
ORD27,CUST87,11/9/2023,Delivered,CozyCurl Faux Fur Throw Blanket,16,113,2350.4,Laurel
ORD28,CUST88,10/4/2021,Cancelled,PowerPulse Portable Charger,6,44,343.2,Las Vegas
ORD29,CUST21,19-04-2021,Delivered,SmartSync Smart Doorbell,2,53,137.8,Wichita
ORD30,CUST73,28-11-2023,Shipped,CozyChic Knit Sweater,25,45,1462.5,Everett
ORD31,CUST26,11/1/2024,Delivered,ChicChill Cashmere Scarf,10,67,871,Boston
ORD32,CUST23,5/9/2022,Delivered,FitFlex Yoga Mat,14,114,2074.8,Baltimore
ORD33,CUST18,3/4/2022,Cancelled,CozyChic Knit Sweater,5,52,338,Washington
ORD34,CUST82,1/3/2024,Pending,GlowGuru Facial Cleansing Brush,10,116,1508,Richmond
ORD35,CUST100,5/6/2024,Delivered,SportStrike Boxing Gloves,1,58,75.4,Brooklyn
ORD36,CUST27,2/8/2021,Cancelled,GlowGlam Radiant Face Serum,19,116,2865.2,Saint Louis
ORD37,CUST32,29-01-2020,Shipped,SportSprint Speed Jump Rope,21,66,1801.8,San Francisco
ORD38,CUST61,23-06-2020,Delivered,EcoElegance Bamboo Cutting Board,10,61,793,Lexington
ORD39,CUST44,11/8/2020,Pending,ChicChill Cashmere Scarf,15,54,1053,Baltimore
ORD40,CUST67,12/5/2023,Delivered,SmartSync Smart Home Hub,13,33,557.7,Corona
ORD41,CUST9,6/3/2022,Delivered,TrendTide Distressed Jeans,8,110,1144,Rochester
ORD42,CUST99,19-01-2024,Delivered,RusticCharm Wooden Wall Art,21,61,1665.3,Winston Salem
ORD43,CUST87,5/1/2023,Delivered,SmartSync Smart Thermostat,12,52,811.2,Laurel
ORD44,CUST69,1/4/2020,Shipped,GlowGoddess Highlighter Palette,18,46,1076.4,Garden Grove
ORD45,CUST3,4/1/2024,Delivered,PowerPulse Portable Charger,25,94,3055,Long Beach
ORD46,CUST94,18-12-2021,Shipped,ChicCharm Midi Skirt,15,46,897,Saint Louis
ORD47,CUST60,25-01-2020,Pending,SportPro Agility Ladder,16,47,977.6,Alexandria
ORD48,CUST38,20-10-2024,Delivered,RusticRoots Farmhouse Wall Clock,19,53,1309.1,Joliet
ORD49,CUST8,14-05-2020,Pending,UrbanVibe Mid-Century Modern Chair,12,69,1076.4,Amarillo
ORD50,CUST5,11/3/2021,Shipped,TechTrend Bluetooth Speaker,9,110,1287,Springfield
ORD51,CUST77,7/7/2023,Delivered,UrbanEdge Denim Jacket,12,15,234,Corpus Christi
ORD52,CUST30,11/2/2021,Shipped,SmartSync Smart Doorbell,7,41,373.1,Corpus Christi
ORD53,CUST65,28-01-2021,Shipped,EcoEssence Solar Powered Lantern,9,41,479.7,Tampa
ORD54,CUST57,19-07-2023,Shipped,ChicCharm Midi Dress,23,61,1823.9,New Orleans
ORD55,CUST95,11/6/2024,Shipped,ElectroGlow Tech Headphones,8,12,124.8,Cincinnati
ORD56,CUST80,13-11-2020,Delivered,TechTrend Wireless Earbuds,12,12,187.2,Irving
ORD57,CUST2,26-05-2021,Pending,GlowGlow Hydrating Face Mask,10,65,845,Cincinnati
ORD58,CUST45,21-01-2020,Delivered,GlowGlow Lip Plumping Gloss,12,22,343.2,Greenville
ORD59,CUST52,20-02-2020,Cancelled,PowerPulse Wireless Charging Pad,14,26,473.2,Indianapolis
ORD60,CUST86,1/2/2024,Cancelled,GlowGlow Nourishing Hair Mask,13,14,236.6,Detroit
ORD61,CUST7,16-11-2024,Shipped,TrendTide Utility Jacket,7,82,746.2,Apache Junction
ORD62,CUST76,24-10-2021,Pending,CozyCurl Faux Fur Throw Blanket,22,107,3060.2,Fargo
ORD63,CUST74,18-08-2021,Pending,ChicCharm Midi Dress,19,24,592.8,New Orleans
ORD64,CUST67,11/8/2023,Pending,GlowGlow Exfoliating Body Scrub,16,112,2329.6,Corona
ORD65,CUST63,14-12-2022,Delivered,SportSprint Speed Jump Rope,23,12,358.8,Charlotte
ORD66,CUST48,13-05-2022,Delivered,CozyCurl Knit Throw Pillow,15,21,409.5,San Jose
ORD67,CUST4,7/3/2023,Delivered,ModernMingle Abstract Canvas Art,25,87,2827.5,Odessa
ORD68,CUST53,21-05-2020,Pending,UrbanVibe Mid-Century Modern Chair,18,82,1918.8,Birmingham
ORD69,CUST14,5/4/2021,Delivered,SportStrike Boxing Gloves,2,49,127.4,Jamaica
ORD70,CUST57,17-07-2020,Pending,SmartSync Smart Home Hub,1,116,150.8,New Orleans
ORD71,CUST11,24-12-2021,Delivered,EcoEco Stainless Steel Water Bottle,3,59,230.1,Sacramento
ORD72,CUST43,12/6/2020,Pending,PowerPulse Fitness Tracker,4,58,301.6,Saint Louis
ORD73,CUST100,14-05-2024,Cancelled,CozyCurl Faux Fur Throw Blanket,20,60,1560,Brooklyn
ORD74,CUST10,1/10/2023,Shipped,GlowGlow Lip Plumping Gloss,11,107,1530.1,New Orleans
ORD75,CUST95,31-05-2022,Delivered,FitFlex Yoga Mat,24,10,312,Cincinnati
ORD76,CUST7,16-11-2022,Delivered,UrbanVibe Industrial Floor Lamp,10,52,676,Apache Junction
ORD77,CUST18,6/8/2022,Pending,SmartStream Smart TV,18,103,2410.2,Washington
ORD78,CUST45,5/8/2020,Delivered,EcoBloom Sustainable Plant Stand,23,39,1166.1,Greenville
ORD79,CUST93,25-11-2023,Shipped,RusticCharm Wooden Wall Art,2,43,111.8,Long Beach
ORD80,CUST54,8/8/2021,Cancelled,ElectroGlow Tech Headphones,9,95,1111.5,Tucson
ORD81,CUST87,23-07-2021,Delivered,FitFlex Resistance Bands Set,13,37,625.3,Laurel
ORD82,CUST62,25-05-2023,Shipped,TrendTide Distressed Jeans,16,57,1185.6,Wilkes Barre
ORD83,CUST34,1/2/2023,Pending,RetroRevive Vintage Record Player,11,61,872.3,Richmond
ORD84,CUST13,13-10-2022,Delivered,GlowGlow Nourishing Hair Mask,20,85,2210,Salt Lake City
ORD85,CUST16,22-02-2022,Cancelled,RusticRoots Farmhouse Wall Clock,3,91,354.9,Oklahoma City
ORD86,CUST94,15-07-2022,Delivered,ChicChill Cashmere Scarf,12,68,1060.8,Saint Louis
ORD87,CUST12,3/4/2020,Delivered,ModernMingle Geometric Throw Pillow,16,112,2329.6,Columbia
ORD88,CUST72,14-12-2024,Delivered,EcoEco Reusable Shopping Bag,12,51,795.6,Corpus Christi
ORD89,CUST61,6/6/2021,Delivered,EcoEssence Solar Powered Lantern,23,22,657.8,Lexington
ORD90,CUST96,10/7/2022,Delivered,GlowGlow Hydrating Face Mask,25,73,2372.5,Tacoma
ORD91,CUST22,25-08-2022,Delivered,GlowGoddess Highlighter Palette,15,103,2008.5,Greensboro
ORD92,CUST19,17-09-2023,Cancelled,TechTrend Smart Watch,4,120,624,Tampa
ORD93,CUST69,9/2/2022,Delivered,SportSwift Running Shoes,25,20,650,Garden Grove
ORD94,CUST41,5/9/2024,Pending,ModernMingle Abstract Canvas Art,22,90,2574,Orange
ORD95,CUST85,14-06-2023,Delivered,SmartSync Smart Thermostat,18,92,2152.8,Greensboro
ORD96,CUST66,29-06-2022,Delivered,UrbanEdge Denim Jacket,18,66,1544.4,Charleston
ORD97,CUST74,4/4/2021,Delivered,EcoEssence Solar Powered Lantern,17,108,2386.8,New Orleans
ORD98,CUST46,22-03-2021,Shipped,UrbanVibe Industrial Floor Lamp,15,40,780,Rochester
ORD99,CUST53,15-12-2022,Delivered,TrendTide Utility Jacket,1,106,137.8,Birmingham
ORD100,CUST45,4/4/2020,Shipped,SportStrike Boxing Gloves,20,68,1768,Greenville
ORD101,CUST71,23-11-2021,Delivered,TechTrend Wireless Earbuds,14,57,1037.4,El Paso
ORD102,CUST6,23-05-2023,Shipped,EcoBloom Sustainable Plant Stand,2,16,41.6,Honolulu
ORD103,CUST44,14-02-2022,Pending,GlowGlow Nourishing Hair Mask,9,75,877.5,Baltimore
ORD104,CUST86,23-06-2024,Delivered,PowerPulse Portable Charger,10,119,1547,Detroit
ORD105,CUST4,17-01-2021,Shipped,CozyCurl Faux Fur Throw Blanket,1,9,11.7,Odessa
ORD106,CUST2,28-05-2023,Pending,RusticCharm Wooden Wall Art,4,14,72.8,Cincinnati
ORD107,CUST9,23-07-2022,Cancelled,ElectroGlow Tech Headphones,4,85,442,Rochester
ORD108,CUST95,6/5/2022,Pending,GlowGlow Illuminating Body Oil,18,65,1521,Cincinnati
ORD109,CUST70,30-10-2022,Shipped,SportSprint Speed Jump Rope,1,46,59.8,Nashville
ORD110,CUST78,22-08-2021,Delivered,ChicCharm Midi Dress,8,90,936,Garden Grove
ORD111,CUST36,1/5/2022,Delivered,FitFlex Yoga Mat,6,51,397.8,Cleveland
ORD112,CUST13,26-04-2024,Delivered,SportPro Agility Ladder,22,112,3203.2,Salt Lake City
ORD113,CUST21,9/6/2024,Shipped,ChicCharm Midi Skirt,3,91,354.9,Wichita
ORD114,CUST75,17-12-2021,Shipped,ModernMingle Geometric Throw Pillow,7,97,882.7,Sacramento
ORD115,CUST12,22-12-2022,Shipped,EcoEco Reusable Shopping Bag,18,90,2106,Columbia
ORD116,CUST93,12/2/2023,Delivered,SportSwift Running Shoes,24,14,436.8,Long Beach
ORD117,CUST92,30-03-2023,Shipped,RusticRoots Farmhouse Wall Shelf,19,109,2692.3,Spokane
ORD118,CUST79,7/6/2024,Pending,GlowGlam Radiant Face Serum,22,32,915.2,Kansas City
ORD119,CUST17,4/5/2024,Delivered,EcoElegance Bamboo Cutting Board,8,50,520,Boynton Beach
ORD120,CUST56,2/8/2024,Delivered,GlowGlow Hydrating Face Mask,7,100,910,Boynton Beach
ORD121,CUST24,3/3/2023,Shipped,GlowGoddess Highlighter Palette,20,35,910,Dayton
ORD122,CUST14,5/5/2022,Pending,CozyChic Knit Sweater,3,64,249.6,Jamaica
ORD123,CUST27,22-10-2021,Cancelled,TechTrend Smart Watch,5,26,169,Saint Louis
ORD124,CUST82,2/3/2021,Shipped,RusticRoots Farmhouse Wall Clock,6,106,826.8,Richmond
ORD125,CUST26,9/1/2020,Delivered,RetroRevive Vintage Record Player,23,70,2093,Boston
ORD126,CUST6,21-09-2020,Delivered,TechTrend Wireless Earbuds,17,30,663,Honolulu
ORD127,CUST79,20-11-2020,Delivered,GlowGlow Nourishing Hair Mask,3,11,42.9,Kansas City
ORD128,CUST7,30-07-2021,Delivered,PowerPulse Fitness Tracker,24,28,873.6,Apache Junction
ORD129,CUST82,9/1/2022,Delivered,CozyCurl Knit Throw Pillow,5,118,767,Richmond
ORD130,CUST51,5/7/2021,Delivered,GlowGlow Hydrating Face Mask,1,15,19.5,Albany
ORD131,CUST65,15-07-2024,Pending,SportSprint Resistance Bands,22,68,1944.8,Tampa
ORD132,CUST38,2/6/2024,Delivered,EcoBloom Sustainable Plant Stand,6,23,179.4,Joliet
ORD133,CUST57,26-09-2023,Shipped,RusticRoots Farmhouse Wall Clock,14,79,1437.8,New Orleans
ORD134,CUST22,8/8/2023,Delivered,UrbanVibe Mid-Century Modern Chair,9,68,795.6,Greensboro
ORD135,CUST50,31-12-2023,Shipped,SportSprint Speed Jump Rope,8,37,384.8,Boston
ORD136,CUST17,10/5/2021,Delivered,RusticCharm Wooden Wall Art,13,93,1571.7,Boynton Beach
ORD137,CUST70,3/5/2021,Shipped,FitFlex Yoga Mat,11,69,986.7,Nashville
ORD138,CUST97,16-01-2020,Delivered,ElectroGlow Tech Headphones,21,67,1829.1,Seattle
ORD139,CUST99,12/9/2020,Delivered,UrbanEdge Denim Jacket,21,77,2102.1,Winston Salem
ORD140,CUST95,28-09-2020,Shipped,SmartStream Smart TV,8,16,166.4,Cincinnati
ORD141,CUST55,21-10-2024,Shipped,CozyCurl Faux Fur Throw Blanket,4,117,608.4,Dallas
ORD142,CUST74,4/8/2021,Pending,TrendTide Utility Jacket,17,43,950.3,New Orleans
ORD143,CUST21,30-11-2022,Pending,GlowGlow Exfoliating Body Scrub,10,55,715,Wichita
ORD144,CUST45,8/7/2020,Pending,SportSwift Running Shoes,6,9,70.2,Greenville
ORD145,CUST98,1/7/2021,Delivered,ModernMingle Geometric Throw Pillow,25,40,1300,London
ORD146,CUST64,7/2/2023,Cancelled,SmartSync Smart Thermostat,24,120,3744,Salt Lake City
ORD147,CUST75,23-11-2023,Shipped,GlowGlow Illuminating Body Oil,15,21,409.5,Sacramento
ORD148,CUST67,5/4/2021,Shipped,FitFlex Resistance Bands Set,16,49,1019.2,Corona
ORD149,CUST58,18-03-2020,Shipped,EcoElegance Bamboo Cutting Board,19,8,197.6,Washington
ORD150,CUST5,30-08-2024,Delivered,UrbanVibe Industrial Floor Lamp,5,82,533,Springfield
ORD151,CUST9,4/1/2020,Delivered,ChicChill Cashmere Scarf,12,71,1107.6,Rochester
ORD152,CUST39,12/6/2022,Shipped,PowerPulse Wireless Charging Pad,6,57,444.6,Lakeland
ORD153,CUST35,17-09-2024,Pending,EcoEssence Solar Powered Lantern,18,73,1708.2,Young America
ORD154,CUST8,6/6/2020,Delivered,SmartSync Smart Home Hub,4,117,608.4,Amarillo
ORD155,CUST25,20-10-2022,Pending,RusticRoots Farmhouse Wall Shelf,21,86,2347.8,Frankfort
ORD156,CUST11,16-03-2020,Delivered,SportSwift Running Shoes,25,47,1527.5,Sacramento
ORD157,CUST45,25-09-2022,Pending,UrbanVibe Mid-Century Modern Chair,2,120,312,Greenville
ORD158,CUST15,7/7/2020,Delivered,TechTrend Wireless Earbuds,14,32,582.4,New Hyde Park
ORD159,CUST50,1/10/2023,Shipped,GlowGuru Facial Cleansing Brush,14,59,1073.8,Boston
ORD160,CUST31,29-03-2020,Delivered,TechTrend Smart Watch,1,105,136.5,Tampa
ORD161,CUST64,18-02-2021,Delivered,SportSprint Resistance Bands,10,117,1521,Salt Lake City
ORD162,CUST56,4/8/2023,Cancelled,EcoEssence Solar Powered Lantern,8,80,832,Boynton Beach
ORD163,CUST14,26-04-2021,Delivered,EcoEco Stainless Steel Water Bottle,6,16,124.8,Jamaica
ORD164,CUST92,7/2/2022,Pending,RusticRoots Farmhouse Wall Clock,4,16,83.2,Spokane
ORD165,CUST83,11/1/2022,Shipped,SportPro Agility Ladder,17,47,1038.7,North Las Vegas
ORD166,CUST72,17-08-2020,Shipped,GlowGlow Nourishing Hair Mask,7,78,709.8,Corpus Christi
ORD167,CUST49,15-09-2021,Delivered,SmartSync Smart Doorbell,25,103,3347.5,Madison
ORD168,CUST93,2/2/2021,Pending,TrendTide Utility Jacket,12,98,1528.8,Long Beach
ORD169,CUST82,4/7/2024,Shipped,ChicCharm Midi Dress,12,115,1794,Richmond
ORD170,CUST65,10/6/2024,Delivered,PowerPulse Portable Power Bank,20,77,2002,Tampa
ORD171,CUST27,2/12/2023,Shipped,EcoElegance Bamboo Cutting Board,4,45,234,Saint Louis
ORD172,CUST88,2/2/2023,Delivered,GlowGlow Hydrating Face Mask,3,10,39,Las Vegas
ORD173,CUST87,10/10/2021,Delivered,FitFlex Resistance Bands Set,20,42,1092,Laurel
ORD174,CUST94,28-02-2020,Pending,SportSprint Speed Jump Rope,18,76,1778.4,Saint Louis
ORD175,CUST81,28-12-2021,Delivered,CozyCurl Faux Fur Throw Blanket,6,6,46.8,Springfield
ORD176,CUST47,24-07-2024,Delivered,TechTrend Bluetooth Speaker,2,70,182,Washington
ORD177,CUST26,5/8/2022,Cancelled,ChicChill Cashmere Scarf,22,51,1458.6,Boston
ORD178,CUST34,5/4/2022,Shipped,TrendTide Distressed Jeans,13,68,1149.2,Richmond
ORD179,CUST67,28-05-2023,Delivered,RusticRoots Farmhouse Wall Shelf,17,36,795.6,Corona
ORD180,CUST99,3/2/2024,Cancelled,ModernMingle Abstract Canvas Art,2,54,140.4,Winston Salem
ORD181,CUST96,14-09-2020,Delivered,UrbanEdge Denim Jacket,9,116,1357.2,Tacoma
ORD182,CUST55,15-12-2022,Shipped,SmartSync Smart Thermostat,12,42,655.2,Dallas
ORD183,CUST78,4/10/2021,Delivered,EcoEco Reusable Shopping Bag,5,7,45.5,Garden Grove
ORD184,CUST95,11/2/2023,Shipped,RusticCharm Wooden Wall Art,21,23,627.9,Cincinnati
ORD185,CUST13,31-01-2022,Pending,PowerPulse Wireless Charging Pad,23,29,867.1,Salt Lake City
ORD186,CUST37,18-07-2024,Pending,FitFlex Yoga Mat,0,105,0,Elmira
ORD187,CUST77,14-07-2021,Pending,SmartSync Smart Home Hub,13,103,1740.7,Corpus Christi
ORD188,CUST22,12/8/2024,Delivered,GlowGoddess Highlighter Palette,22,63,1801.8,Greensboro
ORD189,CUST14,2/3/2020,Cancelled,ModernMingle Geometric Throw Pillow,17,6,132.6,Jamaica
ORD190,CUST46,24-02-2021,Delivered,SportSwift Running Shoes,22,85,2431,Rochester
ORD191,CUST29,4/5/2020,Delivered,SmartSync Smart Thermostat,21,20,546,Columbus
ORD192,CUST82,27-09-2021,Delivered,ChicChill Cashmere Scarf,7,13,118.3,Richmond
ORD193,CUST26,24-06-2022,Delivered,PowerPulse Wireless Charging Pad,24,56,1747.2,Boston
ORD194,CUST80,9/5/2021,Delivered,RusticRoots Farmhouse Wall Shelf,14,83,1510.6,Irving
ORD195,CUST24,27-12-2022,Delivered,EcoElegance Bamboo Cutting Board,2,27,70.2,Dayton
ORD196,CUST63,21-01-2021,Delivered,CozyCurl Knit Throw Pillow,13,51,861.9,Charlotte
ORD197,CUST73,5/9/2020,Shipped,TechTrend Bluetooth Speaker,5,107,695.5,Everett
ORD198,CUST54,1/2/2023,Shipped,TrendTide Utility Jacket,11,7,100.1,Tucson
ORD199,CUST48,4/11/2021,Cancelled,SportSprint Resistance Bands,11,28,400.4,San Jose
ORD200,CUST100,11/5/2024,Pending,FitFlex Resistance Bands Set,11,112,1601.6,Brooklyn
ORD201,CUST47,28-10-2020,Delivered,SmartSync Smart Doorbell,7,98,891.8,Washington
ORD202,CUST51,31-03-2022,Delivered,RusticCharm Wooden Wall Art,3,43,167.7,Albany
ORD203,CUST96,1/5/2023,Shipped,CozyChic Knit Sweater,14,75,1365,Tacoma
ORD204,CUST10,5/12/2020,Delivered,GlowGlow Exfoliating Body Scrub,1,95,123.5,New Orleans
ORD205,CUST56,24-02-2022,Delivered,TrendTide Distressed Jeans,6,44,343.2,Boynton Beach
ORD206,CUST4,16-10-2023,Delivered,SportStrike Boxing Gloves,5,100,650,Odessa
ORD207,CUST32,4/6/2020,Cancelled,TechTrend Wireless Earbuds,7,29,263.9,San Francisco
ORD208,CUST33,13-12-2021,Delivered,GlowGlam Radiant Face Serum,7,5,45.5,Pasadena
ORD209,CUST15,23-02-2023,Delivered,TechTrend Smart Watch,7,15,136.5,New Hyde Park
ORD210,CUST95,12/3/2021,Cancelled,EcoEssence Solar Powered Lantern,8,117,1216.8,Cincinnati
ORD211,CUST2,12/7/2024,Pending,GlowGlow Hydrating Face Mask,6,68,530.4,Cincinnati
ORD212,CUST44,8/6/2024,Delivered,UrbanVibe Mid-Century Modern Chair,7,7,63.7,Baltimore
ORD213,CUST37,30-12-2020,Pending,GlowGuru Facial Cleansing Brush,11,111,1587.3,Elmira
ORD214,CUST28,9/10/2022,Cancelled,PowerPulse Portable Power Bank,21,109,2975.7,Raleigh
ORD215,CUST72,25-09-2024,Delivered,EcoEco Reusable Shopping Bag,23,79,2362.1,Corpus Christi
ORD216,CUST38,1/2/2023,Shipped,UrbanVibe Industrial Floor Lamp,18,99,2316.6,Joliet
ORD217,CUST43,31-08-2021,Delivered,UrbanEdge Denim Jacket,23,107,3199.3,Saint Louis
ORD218,CUST77,28-08-2023,Pending,SportSprint Resistance Bands,3,56,218.4,Corpus Christi
ORD219,CUST36,1/8/2023,Cancelled,ChicChill Cashmere Scarf,5,24,156,Cleveland
ORD220,CUST22,5/6/2020,Shipped,EcoEco Reusable Shopping Bag,12,43,670.8,Greensboro
ORD221,CUST98,17-11-2023,Delivered,CozyChic Knit Sweater,1,40,52,London
ORD222,CUST42,20-02-2022,Pending,GlowGlow Nourishing Hair Mask,22,25,715,Sacramento
ORD223,CUST74,24-12-2020,Shipped,TechTrend Bluetooth Speaker,5,64,416,New Orleans
ORD224,CUST15,14-11-2022,Shipped,ModernMingle Abstract Canvas Art,23,27,807.3,New Hyde Park
ORD225,CUST58,18-02-2023,Delivered,SmartSync Smart Home Hub,17,12,265.2,Washington
ORD226,CUST72,19-05-2024,Shipped,SportSwift Running Shoes,5,119,773.5,Corpus Christi
ORD227,CUST68,20-05-2024,Shipped,EcoBloom Sustainable Plant Stand,0,62,0,Iowa City
ORD228,CUST18,16-09-2022,Delivered,SportPro Agility Ladder,4,60,312,Washington
ORD229,CUST33,9/11/2024,Delivered,SportStrike Boxing Gloves,2,102,265.2,Pasadena
ORD230,CUST43,15-01-2020,Delivered,FitFlex Yoga Mat,8,30,312,Saint Louis
ORD231,CUST91,8/3/2024,Delivered,TrendTide Distressed Jeans,0,11,0,Merrifield
ORD232,CUST29,26-02-2022,Shipped,GlowGuru Facial Cleansing Brush,10,57,741,Columbus
ORD233,CUST93,2/3/2024,Delivered,SmartSync Smart Doorbell,1,15,19.5,Long Beach
ORD234,CUST55,7/10/2023,Cancelled,SmartSync Smart Thermostat,5,105,682.5,Dallas
ORD235,CUST51,28-01-2023,Delivered,EcoElegance Bamboo Cutting Board,13,108,1825.2,Albany
ORD236,CUST41,30-04-2022,Shipped,RusticCharm Wooden Wall Art,15,39,760.5,Orange
ORD237,CUST40,27-02-2024,Pending,TrendTide Utility Jacket,2,102,265.2,Annapolis
ORD238,CUST81,31-05-2022,Pending,FitFlex Resistance Bands Set,0,83,0,Springfield
ORD239,CUST21,31-03-2023,Pending,RusticRoots Farmhouse Wall Clock,14,111,2020.2,Wichita
ORD240,CUST69,29-11-2023,Delivered,GlowGoddess Highlighter Palette,5,41,266.5,Garden Grove
ORD241,CUST35,10/7/2021,Delivered,GlowGlow Lip Plumping Gloss,13,18,304.2,Young America
ORD242,CUST64,30-11-2024,Delivered,GlowGlow Illuminating Body Oil,4,7,36.4,Salt Lake City
ORD243,CUST31,2/1/2024,Delivered,RusticRoots Farmhouse Wall Shelf,17,36,795.6,Tampa
ORD244,CUST79,30-05-2022,Delivered,UrbanVibe Industrial Floor Lamp,21,75,2047.5,Kansas City
ORD245,CUST86,21-06-2021,Pending,EcoEssence Solar Powered Lantern,10,23,299,Detroit
ORD246,CUST59,8/6/2024,Pending,UrbanVibe Mid-Century Modern Chair,12,64,998.4,San Francisco
ORD247,CUST66,22-05-2021,Delivered,SmartStream Smart TV,4,80,416,Charleston
ORD248,CUST1,23-01-2022,Shipped,SportSprint Speed Jump Rope,22,9,257.4,Vancouver
ORD249,CUST23,8/12/2024,Shipped,SportSprint Speed Jump Rope,13,75,1267.5,Baltimore
ORD250,CUST43,29-08-2021,Delivered,RusticCharm Wooden Wall Art,21,39,1064.7,Saint Louis
